ktc_low;ktc_high;tot_erosion;tot_sedimentation;sed_river;sed_noriver;sed_buffer;sed_sewerin;sed_openwater;outlet_1;outlet_2
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0;0
0.00;1.00;-2266889.33;1827488.83;170528.88;8270.20;29504.04;166026.57;;170528.9062;0
0.00;2.00;-6800668.00;5482466.48;341057.77;16540.40;59008.09;332053.13;;341057.8125;0
0.00;3.00;-13591857.10;10958452.93;511069.42;24810.60;88512.13;497525.09;;511069.3438;0
0.00;4.00;-22610953.33;18235910.27;679771.06;33080.80;116828.34;659110.49;;679771.125;0
0.00;5.00;-33820479.71;27286760.49;845250.87;41351.00;144653.84;817246.45;;845251.0625;0
0.00;6.00;-47197855.55;38094985.47;1007044.20;49621.20;171380.03;974512.51;;1007044.125;0
0.00;7.00;-62697298.99;50630463.40;1162464.22;57516.64;196464.45;1129432.88;;1162464.375;0
0.00;8.00;-80231217.85;64837683.24;1312269.10;64945.09;218696.32;1278529.74;;1312269.25;0
0.00;9.00;-99723872.42;80675003.06;1456313.87;71199.01;237487.66;1415428.91;;1456313;0
0.00;10.00;-121102419.07;98086793.31;1594593.13;75813.41;255617.42;1545423.05;;1594592.875;0
0.00;11.00;-144294408.89;117017079.51;1724340.13;80282.96;271391.11;1672049.70;;1724339.25;0
0.00;12.00;-169241672.11;137421777.64;1848459.71;84371.11;286018.32;1793874.65;;1848459.375;0
0.00;13.00;-195871584.35;159241365.80;1967972.64;87977.36;300211.81;1909406.24;;1967972.875;0
0.00;14.00;-224111932.35;182416358.57;2083570.41;91219.52;314015.81;2018436.60;;2083570.625;0
0.00;15.00;-253916115.54;206907511.24;2196730.93;94319.38;327694.99;2124053.47;;2196730;0
0.00;16.00;-285229489.51;232665370.42;2308822.29;97220.83;341337.70;2226319.66;;2308822.25;0
0.00;17.00;-317994928.33;259637516.98;2418912.68;100022.51;354949.11;2326463.43;;2418912.25;0
0.00;18.00;-352151968.09;287769941.45;2527008.12;102751.35;368479.76;2422677.22;;2527007.25;0
0.00;19.00;-387637356.43;317003591.38;2632548.48;105412.57;381916.91;2517407.69;;2632548.5;0
0.00;20.00;-424401635.05;347291385.18;2737196.93;107968.74;395249.41;2611272.90;;2737197.5;0
0.00;21.00;-462391435.59;378583029.65;2840422.27;110464.83;408561.90;2704010.63;;2840421.75;0
0.00;22.00;-501550145.99;410826097.42;2942060.31;112927.43;421828.54;2794268.83;;2942059.75;0
0.00;23.00;-541816234.95;443961531.22;3042707.40;115361.30;435032.33;2883061.26;;3042706.25;0
0.00;24.00;-583126917.34;477931340.59;3141840.21;117762.12;447513.96;2969291.56;;3141840.25;0
0.00;25.00;-625424412.44;512681867.15;3239665.12;119912.78;459635.63;3053838.21;;3239663.5;0
1.00;1.00;-627979379.26;514574554.13;231339.64;8896.25;71724.65;260129.37;;231167.5156;0
1.00;2.00;-632696440.26;518184663.86;405240.54;17166.45;101842.74;426675.25;;405068.4375;0
1.00;3.00;-639642724.05;523585249.77;576168.04;25436.65;131506.39;592960.73;;575996;0
1.00;4.00;-648812473.97;530780075.68;746478.36;33706.85;160120.08;755026.43;;746306;0
1.00;5.00;-660173490.63;539747289.35;912155.57;41977.05;188069.31;913366.72;;911983.5;0
1.00;6.00;-673702960.41;550470766.35;1074197.92;50247.25;215704.03;1070874.41;;1074025.875;0
1.00;7.00;-689369109.12;562930339.37;1232515.90;58142.69;242363.23;1226253.45;;1232343.75;0
1.00;8.00;-707095919.44;577085071.92;1383367.88;65571.14;265156.34;1376509.80;;1383195.625;0
1.00;9.00;-726798217.65;592885180.67;1527744.57;71825.06;284069.54;1514431.15;;1527572;0
1.00;10.00;-748389632.79;610262316.70;1666372.04;76457.44;302390.96;1644535.44;;1666199.625;0
1.00;11.00;-771794052.90;629155566.78;1797997.08;80926.99;318180.77;1771211.68;;1797824;0
1.00;12.00;-796949576.06;649518043.10;1923108.93;85015.14;332822.94;1893044.68;;1922936.625;0
1.00;13.00;-823791739.88;671299310.86;2042705.50;88621.38;347017.24;2008582.04;;2042533.5;0
1.00;14.00;-852249422.54;694440655.18;2158643.10;91863.55;360821.25;2117692.42;;2158471.25;0
1.00;15.00;-882268244.74;718894450.43;2272794.57;94963.40;374500.42;2223331.64;;2272622.25;0
1.00;16.00;-913797513.31;744616193.47;2384900.23;97864.86;388143.14;2325597.83;;2384728.5;0
1.00;17.00;-946781374.85;771554306.09;2495252.98;100666.54;401754.54;2425916.42;;2495079.5;0
1.00;18.00;-981163343.11;799657897.22;2603691.44;103395.37;415365.01;2523012.67;;2603519.25;0
1.00;19.00;-1016876089.87;828864794.57;2709404.76;106056.59;428934.26;2617787.17;;2709232.5;0
1.00;20.00;-1053869298.67;859127220.01;2814111.88;108612.76;442349.14;2711679.84;;2813940.25;0
1.00;21.00;-1092090595.46;890396060.32;2917337.22;111108.86;455661.63;2804417.58;;2917164.5;0
1.00;22.00;-1131479505.02;922615015.59;3018986.52;113571.45;468928.28;2894675.77;;3018813.5;0
1.00;23.00;-1171976879.36;955727399.50;3119647.97;116005.33;482132.06;2983469.08;;3119474;0
1.00;24.00;-1213523585.22;989678250.32;3219427.54;118406.15;494613.70;3069699.38;;3219255.25;0
1.00;25.00;-1256059647.54;1024411675.82;3317905.45;120556.80;506735.37;3154269.00;;3317730.5;0
2.00;2.00;-1261007333.59;1028087833.50;448818.28;17697.47;136372.77;503596.40;;448549.3125;0
2.00;3.00;-1268097313.93;1033455825.38;625334.76;25967.67;168541.61;672772.04;;625065.9375;0
2.00;4.00;-1277375447.57;1040576398.51;798198.20;34237.87;198783.37;836517.36;;797929.1875;0
2.00;5.00;-1288832475.48;1049452529.64;966610.77;42508.07;227373.72;995285.54;;966341.875;0
2.00;6.00;-1302450607.96;1060074004.75;1129260.15;50778.26;255655.23;1153190.99;;1128991.5;0
2.00;7.00;-1318203987.83;1072427640.56;1288038.15;58673.71;283073.04;1308911.85;;1287769.375;0
2.00;8.00;-1336027613.88;1086480055.89;1441591.86;66102.15;307514.67;1459843.45;;1441322.25;0
2.00;9.00;-1355839550.86;1102188918.14;1586870.11;72356.08;326633.32;1598194.88;;1586600.5;0
2.00;10.00;-1377553613.22;1119485717.06;1725923.42;77006.42;345118.77;1729575.11;;1725654.5;0
2.00;11.00;-1401086177.09;1138302236.81;1857887.24;81475.98;361124.24;1857371.40;;1857618;0
2.00;12.00;-1426367370.61;1158582406.96;1985587.30;85564.12;375830.31;1979439.49;;1985318.75;0
2.00;13.00;-1453326228.72;1180271381.82;2105770.37;89170.37;390102.69;2095107.69;;2105501.75;0
2.00;14.00;-1481899273.48;1203318439.24;2221887.50;92412.53;403985.56;2204406.20;;2221619.75;0
2.00;15.00;-1512040390.75;1227684118.04;2336465.37;95512.39;417740.83;2310122.42;;2336196;0
2.00;16.00;-1543691893.73;1253316715.57;2449468.89;98413.85;431454.13;2412388.62;;2449200.5;0
2.00;17.00;-1576799084.57;1280166706.95;2559821.67;101215.52;445136.14;2512707.20;;2559551.75;0
2.00;18.00;-1611306739.82;1308184058.50;2668365.65;103944.36;458817.20;2610103.29;;2668096.25;0
2.00;19.00;-1647150907.68;1337309210.69;2774534.30;106605.58;472457.05;2705591.62;;2774265.5;0
2.00;20.00;-1684278273.36;1367492304.69;2879417.26;109161.75;485992.24;2799500.86;;2879148.25;0
2.00;21.00;-1722634274.17;1398682001.27;2982743.87;111657.84;499507.43;2892282.64;;2982474.75;0
2.00;22.00;-1762159449.04;1430823150.91;3084397.34;114120.44;512955.56;2982578.32;;3084127.75;0
2.00;23.00;-1802795929.08;1463860486.90;3185064.70;116554.32;526226.94;3071372.51;;3184795;0
2.00;24.00;-1844480967.13;1497735423.24;3284869.69;118955.13;538776.20;3157602.82;;3284601.5;0
2.00;25.00;-1887159196.61;1532396583.12;3383453.50;121105.79;550965.48;3242174.67;;3383182.5;0
3.00;3.00;-1894436657.81;1537813531.05;662558.45;26214.00;198834.62;735909.78;;662192.875;0
3.00;4.00;-1903834979.49;1544904138.87;840642.92;34484.20;231322.89;903336.31;;840276.625;0
3.00;5.00;-1915374842.09;1553705345.22;1011777.27;42754.40;261891.44;1064571.75;;1011411.5;0
3.00;6.00;-1929066360.87;1564235243.51;1177557.37;51024.60;291585.98;1224463.62;;1177191.875;0
3.00;7.00;-1944883825.45;1576482376.15;1338553.73;58920.04;320390.32;1381059.16;;1338188.375;0
3.00;8.00;-1962769932.90;1590422721.02;1493898.43;66348.49;345823.03;1532356.95;;1493531.875;0
3.00;9.00;-1982649856.36;1606020424.89;1640978.98;72602.41;366722.47;1671362.78;;1640613;0
